Question;Correct Choice;Ground Truth Explanation;Generated Explanation (T5);Generated Explanation (LLaMA);Ground Truth Ratings;T5 Ratings;T5 Human Ratings 1;T5 Human Ratings 2;LLaMA Ratings;LLaMA Human Ratings 1;LLaMA Human Ratings 2;T5 Similarity;LLaMA Similarity;T5 BERTScore;LLaMA BERTScore;T5 BLEURT;LLaMA BLEURT
God rested after building a lot of stuff, so what did he build?;everything;God is considered to have built the entire universe so god built everything. Compassion and imagination cannot be built and the other options are not a lot of stuff.;God rested after building a lot of stuff, so what did he build everything;"In Genesis chapter 2 verse 1-3, we read ""God created mankind in His own image; in the image of God He created them."" This indicates that humanity was meant by God to work just as he worked himself";"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1 
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";0.55;0.41;0.86;0.83;-0.93;-0.59
Why do people socialize when they first get a new job?;meet new people;People meets new people at new job. When they first get a new job, people socialize because they meet new people. People dont socialize for a small talk. At job, a person might not make friends. People might not get a raise by socialising at a new job. A job is not a place where people gets socialize to talk to people.;socializing when they first get a new job is a way to meet new people.;New employees join their workplace with different colleagues having various personalities and working styles. To understand how each person works so they can effectively collaborate together is why people socialize when they begin a new job. Meetings are held only if;"supports: 0
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 2
well_written: 0 
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";0.82;0.71;0.9;0.86;-0.68;-0.28
Why does a bodybuilder eat so much?;gain weight;Body builder needs to gain muscle in bulking phase soGainig muscle requires to eat more calories and result in gaining weight. Eating so much doesn't give you pleasant conversation.Body builder cannot store food in his body for winter. eating so much is not required to satisfy the hunger.Person doesn't eat lot of food for sounds of digestion;bodybuilders eat a lot to gain weight.;"Bodybuilders workout with heavy weights and muscles require protein to grow stronger. Protein can only come from food sources which lead them to consume high amounts of calories which leads them to put on extra fat mass (weight).

";"supports: 4
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.71;0.67;0.88;0.86;-1.2;-0.38
He kept throwing the stick away, but thanks to the dog the stick would always what?;come back;Dogs generally play a game of fetch and when one throws something away, dogs come back with it, So thanks to the dog the stick always comes back. Come here comes under come back and the stick will be present even if there was no dog. The stick won't be what the other options say after throwing it away.;dogs are able to return sticks.;Dog fetching sticks makes the stick return back to its owner. Hence option B is correct.;"supports: 3
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.78;0.71;0.85;0.86;-1.43;-0.74
He was on tilt and losing hand after hand, the playing cards were causing him great what?;anger;When one loses a game after a game, they get irritated and hence get angry as they lose. All the other options are not what is caused when one loses hand after hand in a card game hence are incorrect.;anger is a feeling of anger.;Tilt refers to being upset or angry while playing poker which causes a player to lose their cool. Anger would also mean frustration over losses due to bad luck or poor decisions. There could be different reasons behind a player getting mad;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 1
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.36;0.5;0.86;0.86;-1.11;-0.07
On what would you use a knob to change settings?;control panel;Control panel is a metal box which contains important electrical devices that control and monitor a mechanical process electrically. We would use a knob on control panel to change settings. Opening doors has a knob but aren’t used for change settings but for opening doors. A cell phone doesn’t have a knob on it to change settings. Television has the control panel with a knob which is used to change settings. Doorway has a knob to open and close the door but can’t be used to change settings.;knobs are used to change settings.;Knobs are used to turn on/off electrical appliances or set them according to your preferences. You wouldn't know if there was something wrong with those appliances unless you checked their controls by turning the knobs.;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info:1
contrastive: 1";"supports: 1
overall: 1
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";0.46;0.37;0.86;0.86;-1.21;-0.43
He got tickets to go to performance of his idol, he had a lot of what for him?;admiration;Admiration means respect and warm approval. He got tickets to the performance of his idol because he had a lot admiration for him. One cannot have a lot what is given in the other options for an idol.;he got tickets to go to performance of his idol, he had a lot of admiration for him;Adoration/admiration means having great respect or love towards someone. In the sentence “he had a lot of admiration”, it states that the person has lots of admirations for their idols. Tickets could mean admission;"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.71;0.73;0.91;0.87;-0.18;-0.0
What is a parents primary duty?;care for children;Parents are always affectionate towards their child. Affection leads to caring. Good parenting starts with caring for your own child. Speaking freely is not a primary duty. Happiness of a child may not always be beneficial for valuable life lessons. Controlling a child sometimes has a negative outcomes. School child is an irrelevant option.;parents are responsible for their children.;Parents take care of their kids by giving them food , shelter and love . They teach their child about good things so they will become good people later on in life.;"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";0.5;0.64;0.88;0.86;-0.73;-0.35
What could guns do which could be illegal?;take life;Take life means killing someone which is illegal according to the law. Guns are weapons that can shoot bullets from it which can kill someone. Using guns to kill is a real crime and guns may not do other options which could be illegal.;guns can kill people.;Gun takes lives by shooting bullets hence it would be considered as an act of crime or murder if done without proper authorization. All the other choices don’t relate with gun usage.;"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.58;0.64;0.88;0.88;-1.02;-0.06
Where might you feel cramped in a cubicle?;work;Work is an activity involving mental or physical effort done in order to achieve a purpose of result. We might feel cramped in a cubicle at work. Cramped means uncomfortably small whereas bank are spacious and well-designed. Constructing office space means it is under construction where there cannot be a cubicle. Home office is a workspace at home and doesn’t need a cubicle. Office building is a set of offices and are not divided in cubicles.;cubicles are used for work.;Cubicles are small rooms separated by walls. They tend to leave little space between them which makes people feel crowded or crammed up together. So we choose option B as our correct choice.;"supports: 0
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 0
contrastive: 1";"supports: 0 
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.56;0.46;0.83;0.84;-1.47;-0.63
What do you do to weapons when you want to gather them?;stockpile;When you want weapons just to gather them then you are doing its stockpile. You dont gather the weapons because you want to buy them. Weapons are not gathered for the purpose of oversupply. Superabundance or plentitude is not an activity;stockpile is the only way to gather weapons.;Weapons should be kept safe so that we don’t lose any weapon accidentally or deliberately which could lead to catastrophe. So, we keep our weapons safely by storing them away in safest places possible. This process is;"supports: 0
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 1
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 3
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 4
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.67;0.43;0.85;0.84;-1.1;-0.21
John wants to buy a writing instrument and paperclips. Where would be go?;office supply store;Writing instrument and paperclipps are office material. As John wants to buy a writing instrument and paperclips so he would go to the office supply store. From desk dwrawer, a person cant buy writing instrument and paperclips. Writer's hand is not a place from where office things can be purchased. At stationery store these items might not be available. Purse is not a place from where office things can be purchased.;office supply store is the place to buy writing instruments and paperclips.;Office supplies include things such as papers clips, staplers etc.. These articles can only be found in an office or any kind of workplace so we conclude that john will go to office supple stores to purchase these products which makes our;"supports: 1
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1 
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.76;0.6;0.88;0.85;-1.32;-0.58
In what place could you find air that has been breathed by only a few people recently?;house;House is a building where families generally live and a family consists of a few people. So House is where one could find air freshly breathed by only a few people. There won't be any people in a cupboard and all the other options have a lot of people.;house is a place where only few people breathed air recently.;Air is usually circulated so houses should contain air which hasn’t had enough time to mix with others. Also since the air will have come straight from human lungs, the quality would also be better than anywhere else.;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";0.73;0.66;0.87;0.85;-0.74;-0.48
What is a place that sells suntan lotion but not food or medicine?;shop;Shop is a place. Suntan lotion can be purchased from a shop. Food or medicines are not available at any shop. At mini mall, food is also available. Suntan lotion is not available at grocery store. At pharmacy or drugstore, medicines are available;shop is a place that sells suntan lotion but not food or medicine;Suntans are usually used during summer vacations so people visit shops which sell suntan lotions, these stores also don’t provide any medicines since there are pharmacies which deal with such things only. Shop provides both medic;"supports: 1
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.88;0.86;0.88;0.86;-0.49;-0.27
When a kid is ready for school, what do admissions counselors say about him?;old enough;All schools have an age condition for kids to join them in their schools, so the admissions counselors say that the kid is old enough when they are ready for school. A student is someone who already goes to school and going to school doesn't mean leaving home. Registration is not something about a kid and kids don't go see work.;when a kid is ready for school, what do admissions counselors say about him old enough;Admissions counsellor checks if the child is eligible or not based upon age criteria which determines whether the kid should attend classes with others or not. Hence, a kid who has reached the required minimum age (as determined by;"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 0
well_written: 1
related: 0
factual: 1
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.66;0.63;0.87;0.85;-0.86;-0.22
What does a robot need to be able to be working?;energy;Energy is required in working. A robot need energy to be able to be working. Energh is not any word. Robot dont do the job. As robot is a machine so it does not require concentration while working. While working, compensation is not needed to be done.;energy is needed to be able to be working;Robots needs electricity to work properly just like any other electrical device or machine . Electricity provides power and energy which makes robots move. So we can conclude that robots require both power(electricity) and energy (electron;"supports: 3
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1 
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";0.68;0.66;0.88;0.85;-0.63;-0.37
What would use a classical stringed instrument?;string quartet;String quartet would use a classical stringed instrument. Rock band or music store dont use a classical stringed instrument. A classical stringed instrument is not used at barbershop or concert.;string quartets are used for concerts.;"String quartets play with four instruments which include violin, viola, cello, and double bass or contrabass (which has six strings). They may also perform pieces written specifically for them such as Haydn's ""Sun""";"supports: 2
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 3
well_written: 0
related: 1
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.79;0.68;0.89;0.85;-0.96;-0.66
The laser light hurt his eyes, how would he describe it?;forceful;"Forceful means strong and assertive; vigorous and powerful. The laser light hurt his eyes; he would describe it forceful. Darkness is absence of light andthe laser light was hurting his eyes means there was light and not darkness. Cumbersome is unwieldy and it is all about how he would describe the hurting laser light which is not bulky. Crucial is critical whereas the laser light hurting the eyes can’t be crucial. The laser light was hurting his eyes means it wasn’t cool for him.";forceful is a word that describes something.;Forceful suggests strong or powerful effect which could imply that the laser was painfully bright causing damage to the eye. The lasers were blindingly bright which also implies that there is enough power behind them such that the eyes will experience difficulty adjust;"supports: 0
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 0
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.62;0.87;0.81;0.85;-1.2;-0.7
What is the largest state with a coast in the US?;california;California is the 3rd largest state in terms of area which also contains coastal line. New York and Florida are smaller states in comparison to California in teams of area and other options are not states;california is the largest state with a coast in the us;California has the biggest coastline among all states with a coastal line. It also happens to be the most populated American state which makes it unique. Texas comes next by having longest stretched coastlines after California followed by Alaska and Florida. Oregon;"supports: 2
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";0.79;0.79;0.85;0.87;-0.88;-0.2
Sam left his muddy shoes in the entryway.  Where might he be?;house;At house's entryway, shoes are left. Sam left his muddy shoes in the entryway of house. There is no entryway in a garden. Someone might not left their muddy shoes in entryway of office building or school or department store.;a house is a place where a person would leave their shoes.;Shoes which have become dirty or muddy by walking outside are usually kept near doorstep so that they don't spoil the carpeted floor inside home. So option (b) i.e., 'house', makes sense here.;"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.63;0.72;0.87;0.85;-1.18;-0.51
When a person is convicted of committing murder, what happend to them?;incarceration;Is person commits murder, he has to undergo court sessions and when convicted, one has to undergo incarciration. Going to jail and undergoing proceeding is the pre-event of the conviction of the offence like murder. Imprisonment can also be unlawful to restrain someone's freedom and sadness is not the feeling which depends on conviction of muder.;incarceration is the punishment for committing murder.;Murderers must serve jail time or prison time until their sentence ends and then return back into society. Jails/prisons hold those who commit crimes so it would most likely apply to someone being charged with murdering another human being.;"supports: 4
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.61;0.59;0.85;0.84;-0.8;-0.46
What do drugs do?;cause accidents;Drugs changes your state mind and you may feel confusion, hallucination or aggression and Changed state of mind cause accident if you are driving after taking drugs. Damage happens to organs if you take for long time. Drugs may not cloud your mind if dosage is low.Drugs may not lower your i.q. permannently.Drugs dont cause illness immediately.;drugs cause accidents.;"Drugs affect brain which controls body parts including motor skills, judgement etc., causing accidental deaths.
Drugs don’t change personality or behavior.Drug addiction doesn’t lead people towards crime.Dru";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.67;0.71;0.86;0.86;-1.28;-0.35
