Question,Choices,Ground Truth Explanation,Correct Choice,T5 Prediction,LLaMA Prediction
How should a person's health improve after getting in shape?,"feeling better, feel stronger, feel depressed, pain, look better",Getting in shape refers to losing cholesterol which increases health and makes us feel good. All other options do not necessarily happen on getting in shape.,feeling better,feeling better,feeling better
After the sun has risen what happens at the end of the day?,"deep dive, fall, lower, below, sun set",Sunset happens at end of day. Sunset happens after sunrise has taken place. Deep dive or below doesnt happen at end of day. Sun dont fall or lowers in sky.,sun set,sun set,Invalid Prediction
James went to the best steakhouse outside of the South.  Where is James?,"dairy farm, texas, building, michigan, florida",Michigan is not in south. As James went to the best steakhouse outside of the South so James is in michigan. James is not in a dairy farm. Florida abd texas might not have the best steakhouse. James might not be in a building.,michigan,michigan,florida
Where might you find a row of apple tree?,"new york, washington state, valley, park, fields",Park is a public place with aisles where people can walk and the aisles in parks have trees on either sides in rows. So park is where one might find rows of apple trees. Not all of Washington state and New York has rows of apple trees and the other options might not have rows of apple trees.,park,park,park
When people have a birthday what normally happens?,"talk to each other, loud sounds, work in teams, kiss each other, receive gifts",Giving gifts to birthday person is a common trend. People usually recieve gifts during their birthdays. Loud sounds are specific to birthdays. Work in teams is an irrelevant option. People generally do not kiss eachother on birthdays. Talking to eachother is not restricted to only birthdays.,receive gifts,receive gifts,Invalid Prediction
"People wanted to get to their destination quickly, what did they invent?","confession, toilets, national park, vehicles, supermarket",People use different modes of transporation to reach their destination quickly. These modes of transportation are called vehicle. Confession is an irrelevant option. Toilets do not help people in fast transportation. National park or supermarket are not modes of transportation.,vehicles,vehicles,vehicles
What is another way to say someone is a failure?,"insulted, hold back, illusion, lower expectations, amount to nothing",If someone's efforts amounts to nothing then that can be considered as failure of that person. Person doesnt get insulted only when he fails.Holding back cannot be considered as failure but it may lead to failure in future.Illusion are not real so cannot be considered as failure even though you have illusion of something. Lower expectations of success doesnt mean failure.,amount to nothing,hold back,Invalid Prediction
Playing chess is like most things where practice helps to build your what at it?,"sharking abilities, opponent, thought, skill, intelligence",A skill is an ability of a person that can be built over time by practce like in playing game of chess. All the other options are not related to what can be built like in game of chess henec are incorrect.,skill,skill,skill
Where could you find some large pieces of paper that are not for sale?,"cabinet, computer printer, suitcase, office supply store, artist's studio","Artists work on large pieces of paper, but due to a lot of changes and mistakes, the artist studio has a lot of large pieces of paper. All the other options are incorrect as they do not have large pieces of paper.",artist's studio,artist's studio,artist's studio
"The snake was cold, what did it seek?","warm place, wooded area, blanket, sleeping bag, tropical forest","As the snake was cold so it seeks a warm place. A cold snake may not seek a wooded area. Blanket dont fits here. Sleeping bag might not be seeked by a cold snake. When a snake is cold, it might not seek tropical forest.",warm place,warm place,warm place
The lizard tried to stay cool by resting in what sort of location?,"sunny place, rocky areas, shady spot, garden, dirt","Shady spots are places free from sunlight, therefore they are cool. Sunny place, garden, rocks may or may not be cool as they can have sunlight and dirt is not a place.",shady spot,shady spot,shady spot
"If someone saved up for a new bass, where would they go to get it?","freshwater lake, seafood restaurant, music store, barbershop quartette, river","Music store is a place which sells musical instruments like bass. So if someone saved up for a new bass, they’d go to the music store to get it. Barbershop quartette is not a place for a bass to be sold in and bass isn’t sold in places in the other options.",music store,music store,music store
Where are there more than 1 trillion planets like earth?,"god's creation, ball stopped, gravity, milky way, universe",Universe have more than trillion planets like earth.God's creation is not scientifically proven thing.stopped ball is not place.gravity is not place where planets can be but its kind of force. milky way contain our galaxy and have billions of planets.,universe,universe,universe
What might lock after someone drives in?,"mouths, doorknob, gate, entrance, front door","A gate can lock after someone drives in it to protect. All the other options like mouth, doorknobs etc. are not something that can close itself.",gate,gate,gate
What is a place that sells food but does not usually sell suntan lotion?,"deli counter, pharmacy, shop, beach bag, grocery store","At grocery store, food is available. At grocery store, suntan lotion is not sold. At deli counter, food is not sold. At pharmacy, suntan lotion is available. At shop, suntan lotion can be found. Beach bag is not a place.",grocery store,grocery store,deli counter
Where might someone need a small table?,"kitchen, demonstration, apartment, corner, furniture store","Someone might need a small table in apartment. Small table is not needed in kitchen. Demonstration is not a place. At furniture store, someone might not need a small table. A small table might not be needed in a corner.",apartment,apartment,apartment
The aorta is the main artery in what area of the body?,"neck, own brain, human body, torso, heart",The aorta artery originates from the heart and extends to abdomen. This whole area is known as torso. All the other body parts are just mere parts and aorta is not a part of them.,torso,torso,torso
What can occur in fencing if you are not careful?,"competition, severe injuries, fever, perspiration, small cuts",Fencing requires use of equipments that are very sharp and Person can get severe injuries by those sharp equipment in fencing if he is not careful. Competition in fencing doesn't happen due to carelessness. Players doesn't get fever if dont be careful in fencing.Perspiration doesn't always happen in fencing.Small cuts occurs even though the person is careful in fencing.,severe injuries,severe injuries,severe injuries
"John hated getting in line, but he wanted anyway.  Not breaking line was just what?","agitation, common sense, civil, fatigue, longer lines",Breaking line in a queue is not good manners and unfair to others so it's common sense to not break like. All other options are not why people don't break lines.,common sense,common sense,common sense
"I am looking to buy honey right from an apiary, where should I go?","jar, stick to fingers, beehive, stick to fingers, farmer's market","Apiary is a collection of beehives. Farmers cultivate beehives. Jar is what you fill honey in, while stick to fingers, Beehive and stick to fingers are not where a man gets honey right from beehives.",farmer's market,farmer's market,jar
What is a very common color in flowers?,"yellow, fragrant, orange, perennial, annuals",Yellow is the common color in flowers and Yellow is a color. Fragrant is not a color.Orange cannot be considered as color always as its fruit also. perennial is not color but its type of plant.Annuals is not a color.,yellow,yellow,yellow
A modern farmer needs many skills common for who in order to manage finances and increase sales?,"harvesting, business man, city dweller, farm land, industrial",Business man requires many skills to run the business and Modern farmer use modern science and technologies in farming to increase the farming productions. and increased sales requires good finance planning.Harvesting doesn't require many skills.City dweller doesn't have many skills always. Farm land doesn't require many skills to do farming. Industrial is not grammatically suitable here.,business man,business man,business man
"It was going to be a long winter during his commute, the heater had gone out in his what?","office, house, automobile, living room, public building","Automobile is a vehicle used to transport and commute means travel some distance between one's home and place of work on a regular basis, which is done using an automobile. It was going to be a long winter during his commute as the heater in his automobile gone out. All the other options are not means of commute.",automobile,automobile,automobile
John went into the front garden of his palatial mansion.  Where might his mansion be located?,"sunny yard, urban area, front yard, outside of house, michigan","A palatial mansion is generally built in a place with large free space, so John's mansion might be located in michigan. Such a mansion cannot be built in places given by other options.",michigan,michigan,michigan
"The bald eagle has been a protected species, this is in part due to a dwindling what?","nest, everglades, high places, in washington, natural habitat",Animals are put in protected species category when their populations reduce and animals’ population reduces when their natural habitat dwindles. Bald eagles has been a protected species as their natural habitat has been dwindling. High places come under the natural habitat and Washington is not where bald eagles live. Other options do not dwindle.,natural habitat,high places,natural habitat
What's a good thing for people to do with other people?,"shave their legs, believe in god, use drugs, make friends, stand upright",Friends usually help one another when need be. Being friends is a good thing. Friendship is usually done and maintained between two or more people. People generally do not shave their legs with other people. Believing in god does not require to be done with others. People usually do not use drugs with other people. Stand upright is an irrelevant option.,make friends,make friends,make friends
What does someone need to do to begin creating art?,"relax, controversy, pleasure, frustration, needs theater",Creating art requires calm mind so artist needs to be relax to begin the creation as Relaxed mind can get good ideas and concerntration for creating the art.Controversy or pleasure is not required for creating the art.Frustration is not needed to begin creating art as it doesn't allow the artist to concertrate on his work.To begin the creating art doesn't needs theater always as not all the art requires theatre.,relax,relax,relax
"The young boy was scared to dance, he found a corner of the auditorium and spent the whole evening doing what?","am happy, celebrate, moving, partner, sitting still",The young boy was sitting still as he was scared to dance. He found a corner in the auditorium where he spent the whole evening by sitting still. He was not happy as he was scared to dance. Young boy didnt celebrate in corner of auditorium. He spent the whole evening by not moving. Partner is not an activity that a person can do.,sitting still,sitting still,sitting still
It is a well known adage that you should not mix business with what?,"fun, nonprofit, art, pleasure, personal","Pleasure is a feeling that results in happiness and which when mixed with business can cause a loss. Mixing business with fun cannot cause a loss. Nonprofit, art and personal are not feelings.",pleasure,pleasure,pleasure
Where would you find a shark that is not alive?,"great barrier reef, deep ocean, maritime museum, ocean, pool hall","Maritime museum contains dead sharks. In museum, usually not alive things are kept. Great barrier reef is not a place where sharks are found. In deep ocean or ocean, live sharks are found. Sharks are not found in pools.",maritime museum,maritime museum,maritime museum
"If you're relaxing with friends and you agree with one but not the other, what have you done?","keep secrets, side with, hang out, lying, talking about","Friends can have casual arguments and in any argument, one can take either of 3 positions, for, or against, or neutral. If you are agreeing with one, that means you are siding with that friend. You don't keep secrets or hang out or lie down in an argument and talking about something is still taking someone's side.",side with,side with,Invalid Prediction
"A fox was thirsty searching for water during the drought, where was he?","painting, hen house, california, virginia, movie hall","Almost half of California is in a moderate drought and its deserts experience very hot summers, spiking to 80°F or more. A thirsty fox searched for water during drought in California. Virginia has no deserts. Foxes won't be in henhouses or movie halls. And not all paintings can depict the said condition.",california,california,california
What happens when you are drinking alcohol too much?,"vomiting, defecation, intoxication, frequent urination, nausea","Drinking too much alcohol makes your stomach overflowed and upset and that makes you vomiting.defecation doesn't happen on drinking too much alcohol. intoxication doesn't happen when you are drinking. frequent urination doesn't happen when drinking too much alcohol only ,any drink in too much quantity make you frequent urination nausea doesn't happen when drinking too much alcohol.",vomiting,vomiting,vomiting
What do children often do before bed?,"play games, push ups, play with toys, hear stories, throw things",One hears stories before bed and not play games or play with toys. Children like to hear stories and not do push-ups. Hearing stories entertain children unlike throwing things.,hear stories,hear stories,hear stories
What would an adult man do to get ready for work?,"dress herself, shower, dress himself, drink beer, drive train",People need to wear proper dress suitable to their workplace. Dress herself refers to woman. People does not necessaily take shower to get ready for work. Other options are not required to be done in order for one to get ready for the work.,dress himself,dress himself,dress himself
"The person was in the drawing room, but wanted to take his draft to be completed, where did he go?","house in england, studio, large house, mansion, studio","Studio is equipped with stuff for draft so the person can go to complete his draft there.Large house ,house in england and mansion doesn't have equipment for draft usually.",studio,studio,studio
"The final boarding group was called, once everybody was in their seat the what could depart?","theatre, in wedding hall, show, airplane, auditorium","Boarding group is there for an airplane. Once evryone is seated, then only an airplane can depart. Theatre, Weddding hall, show or Auditorium dont depart anywhere.",airplane,airplane,airplane
The man and the woman chipped the wood for their garden and then did what to it?,"warp, sanded, composted, petrify, feel rough","The man and the woman chipped the wood for their garden and then composted it. It is not possible to petrify the wood. Feel rough is not an activity. The wood cant be wraped after being chipped. In the garden, wood cant be sanded.",composted,composted,composted
The middle of a trip comes after the what?,"left right, first, top, conclusion, beginning","One can be in the middle of the trip only after they have begun it, which means after begining the trip. All the other options are not the correct answer as they are not related to trips.",beginning,beginning,beginning
"It seems weird to have a fast food restaurant with all the local choices, but with all the people what have plenty of them?","shopping mall, big cities, america, new york, los angelos",Big cities have many fast food restaurant with variety of local choices and Big cities have large number of people living in there. Shopping mall cannot have large number of people at a time. Fast food restaurants are not only in America but other countries also have. Fast food restaurants are not only in new york but other cities can also have.Not only los angelos have fast food restaurant with variety of local choices.,big cities,big cities,big cities
Where would you find a dustbin that is being used?,"utility closet, ground, cupboard, broom closet, kitchen",Dustbin in the kitchen keeps being used constantly. Dustbin in use are not kept in utility closet or in cupboards or in broom closet. dustbins are not kept on ground always.,kitchen,kitchen,utility closet
"Billy loves science, history, and art but isn't very creative.  When he was visiting the museum, he felt a great deal of what emotion?","inspiration, fulfillment, wonder, boredom, enjoyment","Though Billy loves science, history and art but isn't very creative and felt a great deal of enjoyment when he was visiting the museum. Visiting museum dont make him feel boredom. Visiting museum dont give inspiration to Billy. Visiting museum is not a feeling of fulfillment. Wonder is not a feeling to visit museum.",enjoyment,enjoyment,enjoyment
Where could you find a library that only friends can visit?,"college, hotel, school, house, downtown","House is to go to the place where one lives permanently, especially as a member of a family or household. We could find a library that only friends can visit at house. College library is for all college students and not only friends. Hotels don’t have a library that only friend can visit. School library is for school children’s and not only for friend. Downtown is a commercial area and there are libraries on membership basis.",house,house,house
"He finished his business, he got up and gave the toilet a what?","flushed, flush, refill, clear, smell bad","He got up and gave the toilet a flush, after finishing his business. Flushed is an adjective that dont fits here in the sentence. Toilet cant be refill. He cannot clear the toilet. He didnt gave the toilet a bad smell rather he gave a flush.",flush,flushed,flush
What is necessary for learning by yourself?,"exposure, patience, study, cooperation, thought",Study is the devotion of time and attention to gaining knowledge especially by means of books. Study is necessary for learning by yourself. Exposure is the state of having no protection whereas protection is not needed for learning and learning is no harmful. Patience means the capacity to accept whereas learning is not about tolerating a delay or a problem. Cooperation is not necessary for learning yourself. Thought is an idea or opinion produced by thinking whereas learning yourself is all about gaining knowledge by yourself.,study,study,study
"The artist felt creating art was more than just making a picture, he felt his work had to evoke what?","strong emotion, work of art, pleasure, anger, enlightenment","The goal of the artist is to create an art which connects with people deeply. When people connects with something very deep, it creates strong emotions in them. Work of art is not gramatically suitable option here. Art does not create pleasant or angry emotions all the time. Art does not generally create enlightenment in people.",strong emotion,strong emotion,strong emotion
John tried to test himself but he was never good at it.   He felt that it would be best if he just continued to complete his what?,"homework, school grade, practice, ignore, park","By testing himself, John finds that he was not good at it and continued homework. John felt that it would be best to continue to complete his homework after trying himself for test. School grade cant be completed. He will not do practice if he is not good at test. Park cant be completed. A person cannot continued to ignore.",homework,homework,homework
"The scientists thought it was an impossibility, but with new evidence there was a chance it was a what?","inevitability, certainty, possibility, possible, possibility","The opposite of impossibility is possibility. The scientists thought it was an impossibility, but with the new evidence there was a chance it was a possibility. Inevitability is the quality of being certain to happen. Certainty is firm conviction. Possible is able to be done or achieved.",possibility,possibility,possibility
"If I work in public transportation and find a door with a lock, where am I likely?","bus terminal, train, automobile, file cabinet, house","Bus terminal or terminus is the point where a bus route starts or ends, where vehicles stop, turn, or reverse, and wait before departing on their return journeys. If I work in public transportation and find a door with a lock, I am likely at bus terminal. Train doors doesn’t come with a lock, so you are not likely to be in a train. Automobile is not a public transportation where you work. File cabinet is not a public transportation where you likely could be. House is where you live and not a public transportation.",bus terminal,bus terminal,bus terminal
What container does peanut butter come in?,"cupboard, pantry, jar, bottle, supermarket","Peanut butter must be stored in a glass container. JArs are made of glass. Hence, peanut butter comes in a jar. Cupboard, pantry and supermarket are not containers. Bottle is not necessarily made of glass.",jar,jar,jar
"If children are happy, what do they do?","enjoyed, skip, sleep, awesome, watch television",Skipping is a physical activity while watching television is not. Happy children skip and are not always awesome. Skipping involves body movement unlike enjoying and sleeping.,skip,skip,skip
If geese are invading a secure installation from where will they be spotted first?,"fly, group together, guard house, ground, follow ultralight airplane","A guardhouse is a building used to house personnel and security equipment, which is the place from where invading geese will be spotted first. Geese cannot be spotted from the ground first. All other options are not areas.",guard house,guard house,guard house
Dancing or walking too much will lead to what on your feet?,"humiliation, fatigue, skin, blisters, exhaustion",Blisters can happen on your feets. Dancing or walking too much will lead to blisters on your feet. Dancing or walking too much dont lead to Humiliation. Fatigue cant happen on your feet. Skin or exhaustion is not a problem that can happen by too much dancing or walking.,blisters,blisters,blisters
Billy set of the chairs on what surface?,"floor, conference, building, theater, online","Floor is a surface unlike conference, building and theater. Chairs can be set up on the floor and not online.",floor,floor,floor
"He used hair styling gel, he kept it where?","tube, outside, store, bathroom, refrigerator",Hair gel is a personal care product used to harden hair into a particular hairstyle and personal care products are generally kept in a bathroom. Tube is not a place and personal care products are not kept in places given in the other options.,bathroom,bathroom,bathroom
What is the best way to release energy?,"yell, think, exercise, rest, work off","The best way of releasing energy is exercise. Work off or yell is not a way by which energy can be released. By thinking, energy cant be released. Rest is not a way to release energy.",exercise,exercise,exercise
What would cooks do when they are almost finished cooking?,"prepare meals, season with salt, mix in bowl, brown meat, better food","Food is seaaoned after being cooked. After finished cooking, the food is season with salt. Meals are not prepared after finished cooking. When they are almost finished cooking, cooks do not mix in bowl. Brown meat or better food is not done by cooks.",season with salt,mix in bowl,season with salt
Where would you not be able to find a diaphragm if there is no one in it?,"drugstore, human, woman's body, human body, valve","Drugstore is a pharmacy which also sells toiletries and other articles. We would not be able to find a diaphragm if there is no one in drugstore. All Human comes with natural fitted diaphragms and life is not possible without diaphragm so no question of not finding it in human. Woman’s body and human body are related to human, and all Human comes with natural fitted diaphragms and life is not possible without diaphragm so no question of not finding it in human. Diaphragm is a type of valve, there is no diaphragm in a valve is not possible.",drugstore,drugstore,drugstore
Where would a teacher store their upright piano?,"music class, piano store, band, music store, music room",Music room is a place where a teacher would store their upright piano. Music class isnt a place for storing piano. Piano store is not a place where a teacher can store their piano. Band is not a correct option. A teacher cant store their upright piano at music store.,music room,music room,music room
How does the first time having sex feel for a girl?,"pleasant, irritating, effect of burning calories, painful, dirty","First time sex is painful for girl. For girls, first time sex is not pleasant. Sex dont irritate. Sex cant burn calories. Sex cant be dirty if done first time or not.",painful,painful,painful
"The turkey needed to be kept unspoiled, what is the full name of a useful impelement in this situation?","bought at store, barrel, refrigerator, oven, fridge","The turkey needed refrigerator to be kept unspoiled. Bought at store is not an implement. In oven, things cant be kept. Barrel is not a useful impelement. Fridge is not a useful impelement for keeping unspoiled things.",refrigerator,refrigerator,refrigerator
James went across the street for food because his was contaminated. Where might he have gone?,"neighbor's house, garage, table, military base, fairgrounds",Food can get contaminated sometimes and Person can go to neighbor's house for food and neighbor's house is across the street only so its easily reachable. Person cannot go to garage or to table when food gets contaminated as it doesn't have other food. Military base cannot be across the street.Person doesn't have fairgrounds across the street.,neighbor's house,neighbor's house,neighbor's house
Jeff Fortenberry is the Republican representative from this state whose capital is Lincoln.,"nebraska, kansas, colorado, demopublican, demopublican",Jeff Fortenberry is the Republican representative from Nebraska which is a state which has capital as Linclon. All the other options are incorrect as Linclon is not their capital.,nebraska,nebraska,nebraska
What will someone do in court for someone they love?,"reproduce, obstruct justice, tell the truth, forgive, get","When one is in love, they fight for them everytime even in court. They will obstruct justice and be on their partners side. All the other options are not someone in love does at court.",obstruct justice,obstruct justice,obstruct justice
If you're standing in front of people holding index cards what are you likely doing?,"learning, oral report, office supply store, card catalogue, library","If you're standing in front of people holding index cards, you are likely doing oral presentation or oral report. Learning does not make you learn by standing in front of people holding index cards. Office supply store a supply store for consumables, card catalogue the organized collection of cards and Library are something you are likely not doing when standing in front of peoples holding index cards.",oral report,oral report,oral report
where do women throw loose credit cards?,"envelope, help person track expenses, floor, wallet, purse",Women carries the purse to put the essential things and Credit cards are essential things and women throw loose credit cards in the purse as mostly purse doesn't have special pocket to keep the cards. Envelope can not be used to carry the credit cards. help person track expenses is not something where women throw loose credit cards.Credit cards cannot be thrown on floor.Women doesn't throw credit cards in wallet as wallet has special pocket to keep the credit cards.,purse,purse,purse
"James noticed that people who communicate well have fewer problems.  Some people communicate easily with strangers, others need to talk with members of their own groups.  A religion is a type of group.  What do members of a religion have in common?","believe in god, talk to each other, pay bills, learn from each other, believe in ghosts",Different religions have different deities that they worship. People of same religion worship the same deity. People pray when they believe in god. Talking to each other does not require same religion. Pay bills is an irrelevant option. People of same religion do no have learning from eachother in common. Same religion people do usually not have a common belief in ghosts.,believe in god,believe in god,believe in god
Where in your home would you store a satchel?,"room, desk, clothing store, school, luggage compartment","Satchel is kept in room. Satchel stored in room is easy to find and use. At desk, satchel cant be stored. We dont go to clothing store or luggage compartment to store the satchel. School is not in home.",room,room,room
"If you see policemen outside wearing safety vest and holding flashlights, what are they doing?","corner thief, help, searching in dark, direct traffic, hurry along",The traffic is found outside and police uses flashlights to direct traffic. Vest is uniform of policemna to help people identify them. The flaslights are used to signal the traffic to direct traffic. All the other options are not fesiable as police does not use flashlights outside for it.,direct traffic,direct traffic,direct traffic
A person who is focused on learning about science they will be gaining what?,"atheism, new ideas, become educated, have fun, scientific knowledge","Scientific knowledge is what we learn from the scientific process, which involves experimenting and collecting data. A person who is focused on learning about science they will be gaining scientific knowledge. Atheism is not what they will be gaining whereas when people start learning about science and presented with hard science facts, many of them turn to atheism, but a simple learning of science is not the reason of atheism. New ideas is they will be gaining whereas focused learning about science is not of gaining new ideas. Become educated feelings never come when learning about science as science being a vast field you may never end up learning all. Have fun is they will be gaining and learning about science is not having fun.",scientific knowledge,scientific knowledge,scientific knowledge
What businesses  serve liquor?,"bar, cabinet, fraternity house, soft drink, state farm",Bar is a place across which drinks or refreshments are served. Bar businesses serve liquor. Cabinet is a cupboard and not the business serving liquor. Fraternity house for are for fraternity people to reside or meet and not a business which serves beer. Soft drink is a non-alcoholic beverages and not a business to serve beer. State farm is large group of insurance companies and not a beer selling business.,bar,bar,bar
He was eating a roast beef sandwich on his sofa bed and spilled what spicy spicy sauce on it?,"texas, guest room, horseradish, living room, basement",Spicy sauce is made from horseradish. He was eating a roast beef sandwich on his sofa bed and spilled horseradish spicy sauce on it. Texas is not a spicy sauce. He was not eating a sandwich in the guest room. He didnt spilled sauce in the living room. He spilled sauce on his sofa bed and sofa bed may not be kept at the basement.,horseradish,horseradish,horseradish
John noticed a plate flanked by silverware set aside for him.  Where was this plate?,"resturant, in a train, kitchen, restaurant, table",Plates are kept on table. Plates are not set aside at a restaurant. Silverware plates are not found in a train. Plates flanked by silverware are not kept in kitchen.,table,restaurant,resturant
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","ignore, enforce, authoritarian, yell at, avoid",Sanctions against school shows that the school's efforts were ignored as they resulted in punishment for the school. All the other options are not fesiable as they are not related to what happened to the efforts of the school.,ignore,ignore,ignore
What store is likely to have a non-functioning train as a result of electricity loss?,"train station, church, basement, rest area, toy store",toy store is type of store andtoy store have toy train that needs electricity to work.train station or church or rest area is not a store. basement doesnt have non functioning train always.,toy store,basement,train station
What will someone do in the house in the evening because of being hungry?,"make bread, have lunch, eat in restaurant, cook dinner, school","Dinner is a meal that is eaten in the night. To be able to eat dinner, one must cook it first. Evening is a time of the day before night which is when people generally cook dinner. Making bread comes under cook dinner and lunch is not had in the evening. Restaurant won’t be in the house and school is not an action to do.",cook dinner,cook dinner,cook dinner
"People are purposefully harming others, what trait are they exhibiting?","deceptive, altruistic, stupid, cruel, agressive",Being cruel means wilfully causing pain and suffering to others. Causing pain and suffering purposefully means harming others. Harming others does not mean being deceptive. Altruistic does not mean wilfully harming others. Stupid people do not usually harm people purposefully. Agressive is an irrelevant option.,cruel,cruel,cruel
Where does blood travel in a person?,"hospital, soccer game, capillaries, tubes, animals","Blood travels throughout the body using organs called Capilleries which are organs of a body that allow blood to travel through them. Hospital, tubes and animals are not organs of a body and soccer game does not allow blood to travel through it",capillaries,capillaries,capillaries
What should you reply to if you get it while at work?,"email, mute, fax, send, answer",Email is a way of replying to someone. While at work reply is to be given in the form of an email. Mute isnt the way of replying. Reply is mostly given by email and not fax. 'Send' dont fits here. Reply means to give answer.,email,email,email
What was the hardest thing for her to do while learning to ski?,"slip on ice, fall down, fall over, sweat, maintain balance","A person needs to maintain balance while doing ski. While learning to ski, the hardest thing for her is to maintain balance. A person should not learn to slip in ice while learning to ski. Sweat is not a correct option. To fall down or fall over was not the hardest thing for her to be done while learning to ski.",maintain balance,maintain balance,maintain balance
John was 15 and this was the first year he would get to do what?,"teach class, try to get, go to high school, go to class, study book","John go to high school when he was 15. This was the first year when he would go to high school. John dont teach class when he was 15. A person might not try to get in the first year. At 15, it may not be the first year to go to class or study book.",go to high school,go to high school,go to high school
"An atheist was asked what happens after dying, what was his response?","unable to work, born again, no longer exist, would cease to exist, body decays",Person who don't believe in god believes in only reality that he can see and The reality is person no longer exist soon after the moment he dies. Death cannot be the only reason of inability to work.Atheist doesn't believe in rebirth. Person would cease to exist after he died Body decay is decomposition that happens to body and continues for some time.,no longer exist,would cease to exist,no longer exist
When shopping for an expensive product you should do what to make sure you get the best deal?,"compare prices, standing in line, meeting friends, live without it, purchasing","The product is expensive means money matters, so price comparison is best.Standing in line or meeting friends is not required to get the best deal.We are shopping for it, there is no need to live without it if it is required. Purchasing is the obvious thing to do to buy a product.",compare prices,compare prices,compare prices
"The dog ran to the front window and barked, this is because of a presence at the what?","building, friend's house, classroom, window, front door","The dog ran to the front window and barked, this is because of a presence at the front door. There was no presence at the building. My dog will not bark at a friend's house. There were no dogs in classroom. No one comes at the window.",front door,front door,front door
"While some people prefer to lie, others do prefer to bluntly what?","amount to nothing, talk louder, talking loudly, talk to each other, state facts","To lie, means to not say the truth. Truth is the opposite of lie. Some poeple prefer to say the truth by stating facts instead of lying. Amount to nothing is an irrelevant answer. People usually do not prefer to talk louder. Talking loudly is not a preference for most people. Talking to eachother does not mean they are not lying to eachother.",state facts,state facts,state facts
"The couple had been copulating seemingly non stop, eventually they finally had a what?","intense pleasure, period of rest, babies, conversation, skin irritation","Period of rest is a pause for relaxation, which people should have instead of doing anything continuously. The couple were copulating non stop and they finally had a period of rest. Couples have intense pleasure while copulating, not just finally and they can converse while copulating, not just when they're not. Copulating may not always result in things in the other options.",period of rest,period of rest,period of rest
What city is likely to have many Mexican restaurants?,"san diego, atmosphere, southern california, mexico, alabama",San diego is a city in California and shares common border with mexicohence can have mexican restaurants. All the other options are not a city.,san diego,san diego,san diego
Where do I put my coffee mug after it's dry?,"shelf, desktop, cabinet, kitchen, cupboard","We usually let mug dry after washing before we put to its original place ""shelf"". Desktop is a working space and Kitchen is a cooking space while cabinet and cupboard is used to store things and cloths and not for mug.",shelf,shelf,cabinet
"There is a cave near the capital of Charleston, where is the cave at?","west virginia, rocky hills, kentucky, in a sea, desert",Charleston is the capital of West Virginia and not of Kentucky. There are cabves in West Virginia and not in a desert. West Virginia is a state unlike rocky hills and in a sea.,west virginia,west virginia,west virginia
Where could you go on top of a superhighway?,"city, rural area, cyberspace, computer network, industrialized country","On top of superhighway, there is industrialised country. A country is a place which can be visited. There is no rural area or city on top of superhighway. Cyberspace is not related to superhighway. Computer network is not a place.",industrialized country,industrialized country,industrialized country
A reaching advantage can help a boxer achieve what?,"being ahead, fall, speed., victory, new option",A boxer can achieve victory with help of a reaching advantage. Being ahead and fall cant be achieved. Reaching advantage cannot help in achieving a new option and speed.,victory,victory,victory
"If a person wants to put some excitement into his routine, he learn how to do what?","play hockey, basketball, dance, go somewhere, express information","A person can learn how to do dance. Dance can put some excitement into a person's routine.A person cant play hockey to put some excitement in his routine. Someone dont do basketball. He cant put excitement if he go somewhere. If he express information, he cant put some excitement in his routine.",dance,dance,dance
What area would you find a large number of wheat fields?,"countryside, mill, bread, eat cake, farmer's field","Countryside is an area where you would find a large number of wheat fields. Wheat fields cant be found in a mill. Eat cake is not a correct option. Bread is not an area to find wheat fields. In a farmer's field, you cannot find a large number of wheat fields.",countryside,countryside,countryside
What might an elderly person install a railing on to help them pull themselves up?,"deck, stairwell, flight of stairs, feet, house","Railing is available at a stairwell to help old people to move easily. RAiling cannot be installed on a deck or a flight of stairs. Feet is not a place on which railing can be installed. On house itself, it is not possible to install a railing",stairwell,stairwell,stairwell
Where would you store a stack of paper when not immediately needed?,"notebook, cabinet, classroom, suitcase, portfolio",Papers which are not to be used immediately can be stored in a cabinet as it is used for storing things. All the other options are incorrect as they are not used for storing papers.,cabinet,cabinet,cabinet
What is the goal of driving to work?,"speeding ticket, use gas, go fast, anxiety, get to work",The purpose of Driving to work is to get to work as Person goes to work place to work. speeding ticket is not purpose of driving to work. Person don't drive to work to use gas or to get anxiety.Person doesn't drive to work to go fast.,get to work,get to work,get to work
"If there is a bird at my window, what is it likely sitting on?","cage, forest, a ledge, windowsill, countryside",Windowsill is the piece of wood forming the bottom part of the window where birds may sit on. Birds won't want to sit on cages and windows don't have shelves. The other options aren't objects to sit on.,windowsill,windowsill,windowsill
John watches the well dressed people from a catwalk above the stage.  He listens to them speak rehearsed lines while the audience listens.  Where is he/,"theatre, new york city, fashion show, construction site, school play",Theatre has well dressed people while school play does not. Audience listens in a theatre and not in New York city. Lines are rehearsed in a theatre and not in a fashion show or a construction site.,theatre,theatre,theatre
Where would the Air Force keep an airplane?,"airport terminal, military base, sky, hanger, airplane hangar","Air Force is a branch of the armed forces concerned with fighting or defence in the air. All armed forces equipment are stored in the military base. So, Air Force keeps their airplane in the military base. Military base has hanger and airplane hangar. Sky is not a place to store something and Air Force does not keep an airplane in the airport.",military base,military base,airplane hangar
